scenario,scenario_desc,algorithm,avg_secrecy_sum,avg_user1_rate,avg_user2_rate,avg_user1_secrecy,avg_user2_secrecy,user1_qos_rate,user2_qos_rate,qos_satisfaction_rate,sic_feasible_rate,secrecy_outage_prob,jain_fairness_index,jain_secrecy_index,avg_p1,avg_p2,avg_pj,avg_decision_time_ms
strong_eavesdropper,Strong Eavesdropper,Heuristic,0.6035981290865944,0.7698133786296639,1.42879400440276,0.12359282937474246,0.48000529971185174,0.323,0.632,0.2025,0.625,0.5115,0.8341712077566722,0.3388412029128369,5.0,3.0,2.0,0.0021425755026029947
strong_eavesdropper,Strong Eavesdropper,Grid,0.6121497388182947,0.8854566146952105,1.7030168156521908,0.0862463358202718,0.525903402998023,0.6195,0.8345,0.6105,0.67,0.5645,0.8969825624235218,0.30325673354753074,5.8200000013499995,3.3755000000999997,0.8045000563500007,1.7400564560011844
strong_eavesdropper,Strong Eavesdropper,PSO,0.6184881236567876,0.901514893384812,1.7267721537797027,0.08340911209544533,0.5350790115613422,0.6245,0.8355,0.621,0.676,0.562,0.8937873642896379,0.3021561715911924,5.84282479388941,3.3859515527347672,0.6895827904029596,4.011074585000642
strong_eavesdropper,Strong Eavesdropper,DDPG,0.5420128470538109,1.1251491638184543,1.5261284500277552,0.10074419858835076,0.44126864846546016,0.626,0.8075,0.6,0.6565,0.5955,0.9290765442262168,0.2945489772138215,6.770181896448135,2.735579600438476,0.49423842485061453,0.04372978999822408
strong_eavesdropper,Strong Eavesdropper,TD3,0.406081199313784,1.1489593812645942,1.835824468409269,0.06182443321087078,0.3442567661029132,0.6385,0.831,0.6095,0.6415,0.6655,0.9069470621912961,0.23784762377894378,6.945487871937454,3.0545120967179535,1.0243325212755394e-07,0.04285389999972722
strong_eavesdropper,Strong Eavesdropper,SAC,0.4779014082150316,0.9712119244440762,1.4412601396033307,0.10794505193467069,0.36995635628036094,0.2965,0.7305,0.242,0.634,0.581,0.877671804427818,0.30833396877623764,5.990305094242096,3.198995093047619,0.8106996050477028,0.0473698424975737
high_noise,High Noise,Random,0.4644848230175471,0.3486980935724604,0.6166146752957017,0.1349091877631486,0.32957563525439837,0.0745,0.2245,0.004,0.609,0.373,0.7300452008701367,0.4695605287434053,3.478007913126843,3.2146772297222634,3.307314854335389,0.005248165495913781
high_noise,High Noise,Equal,0.5024076314818099,0.30831781150228343,0.6597479755708688,0.1225035029307863,0.3799041285510235,0.0,0.2405,0.0,0.61,0.312,0.7994147462832998,0.5006571988963803,3.3333334922790527,3.3333334922790527,3.3333334922790527,0.0006166810005652223
high_noise,High Noise,Heuristic,0.5304493364877947,0.46847638338820735,0.654134707899036,0.16803820238999986,0.36241113409779474,0.03,0.235,0.0105,0.615,0.3135,0.8256059025415705,0.500279430031097,5.0,3.0,2.0,0.0020478394983456383
high_noise,High Noise,Grid,0.5454925617111155,0.47526474312210865,0.9164758868604866,0.135173169371486,0.41031939233962955,0.097,0.4355,0.09,0.624,0.3685,0.8077552067208731,0.4576776187978185,4.860250011050001,4.995750001499999,0.1440000922000011,1.7411241769973458
high_noise,High Noise,PSO,0.5417329816934034,0.4713931802357569,0.9132659243040713,0.13329520785238963,0.4084377738410137,0.1015,0.4225,0.101,0.625,0.3705,0.8082297392233786,0.45722002573188153,4.8566200373456,4.995735390935955,0.13975945173134,4.030852768496743
high_noise,High Noise,DDPG,0.4929256343972812,0.5620145292487656,0.6086429985360461,0.16782878547214933,0.3250968489251319,0.0675,0.1735,0.03,0.6315,0.359,0.9041321290486021,0.49796646916267784,6.424133614897728,3.0495098325014114,0.5263564865161449,0.043555644498837864
high_noise,High Noise,TD3,0.4754093075695711,0.621605352133427,0.65770474349844,0.15675136487884336,0.3186579426907278,0.1385,0.205,0.061,0.62,0.3945,0.8927981601302314,0.4711144134470513,6.931089908838272,3.068910041242838,1.1162955897958681e-07,0.04299749049732782
high_noise,High Noise,SAC,0.4267603323663298,0.533926235515979,0.5771542748283021,0.1582319884144842,0.2685283439518456,0.096,0.107,0.007,0.619,0.3615,0.8651206357658937,0.49773907021938796,5.846092474460602,3.3627248213887215,0.7911825474798679,0.047509977003301174
